com_code,course_code,course_name,instructors,hits
1556,"CHEM F243","ORGANIC CHEMISTRY II","MANAB CHAKRAVARTY,Arijit Mukherjee,Shouvik Bhuin,Manab Chakravarty,Arijit Mukherjee",0
1557,"CHEM F244","PHYSICAL CHEMISTRY III","K SUMITHRA,K Sumithra,Sahithi Reddy Andru",0
1654,"CHEM F266","STUDY PROJECT","BALAJI GOPALAN",0
1577,"CHEM F327","ELECTROCHEM FUNDA & APPL","DURBA ROY,Jayapriya V",0
1580,"CHEM F329","ANALYTICAL CHEMISTRY","N RAJESH,N Rajesh,Arunraj B",0
1561,"CHEM F341","CHEMICAL EXPER II","BALAJI GOPALAN,Chanchal Chakravarthy,Dinabandhu Patra,Mollah Rohan Ahsan,Reeshma Rameshan,Sounak Roy",0
1562,"CHEM F342","ORGANIC CHEMISTRY IV","ANUPAM BHATTACHARYA,Anamika Bandyopadhyay",0
1563,"CHEM F343","INORGANIC CHEMISTRY III","R KRISHNAN,R Krishnan,Soumitra Payra",0
1669,"CHEM F366","LABORATORY PROJECT","J SUBBALAKSHMI,Anuradha Sureshrao Mohitka",0
1739,"CHEM F367","LABORATORY PROJECT","J SUBBALAKSHMI,B Hima Bindu",0
1688,"CHEM F376","DESIGN PROJECT","K SUMITHRA,Sayantan Halder",0
1755,"CHEM F377","DESIGN PROJECT","K SUMITHRA",0
1573,"CHEM F412","PHOTOCHEM & LASER SPECTR","AMIT NAG,Subit Kumar Saha",0
1578,"CHEM F414","BIO & CHEMICAL SENSORS","J SUBBALAKSHMI,Nilanjan Dey,Sayantan Halder",0
1713,"CHEM F491","SPECIAL PROJECT","CHANCHAL CHAKRAVART",0
1094,"CS F211","DATA STRUCTURES & ALGO","CHITTARANJAN HOTA,Sameera Muhamed Salam,T Sahithi,Barsha Mitra,S Rasagna Vakkalanka,Barsha Mitra,Subhashree Barada,Manjanna B,S Rasagna Vakkalanka,Ramaswamy Venkatakrishna,T Sahithi,Sameera Muhamed Salam,NL Bhanumurthy,Ramaswamy Venkatakrishna,Manjanna B,NL Bhanumurthy",0
1095,"CS F212","DATA BASE SYSTEMS","LOV KUMAR,Manik Gupta,K Simran,Manik Gupta,S Rasagna Vakkalanka,D V N Siva Kumar,P. Priyanka Chowdary,T Sahithi,Chaitra C R,K Simran,P. Priyanka Chowdary,Lov Kumar,Subhrakanta Panda,Subhrakanta Panda,D V N Siva Kumar,Lov Kumar",0
1092,"CS F213","OBJECT ORIENTED PROG","R GURURAJ,R Gururaj,Pattiwar Shravan Kumar",0
1313,"CS F241","MICROPROC & INTERFACING","PRASHANT WALI,Gopal Krishna Kamath M,Prashant Wali,Swapna Challagundla,Anil Kumar U,Gowtham Polumati,Harish Vijay Dixit,Swapna Challagundla,S K Sahoo,Mrunali Dnyaneshwar Wagh,Soumya J,TO BE ANNOUNCED,Soumya J,TO BE ANNOUNCED,Naveen Bokka,TO BE ANNOUNCED,Sourav Nandi,Battina Sindhu,Sourav Nandi,Battina Sindhu,Karumbaiah Chappanda Nan,Sarda Sharma,Karumbaiah Chappanda Nan,Sarda Sharma,Ramakant,Mrunali Dnyaneshwar Wagh,Ramakant,Gowtham Polumati,Anil Kumar U,Jayapiriya U S,TO BE ANNOUNCED,Kurakula Anudeep,Naveen Bokka,Kurakula Anudeep,Prashant Wali,Prashant Wali,Gopal Krishna Kamath M,Gopal Krishna Kamath M,Runa Kumari,Chetan Kumar V,Chetan Kumar V,Prashant Wali,Gopal Krishna Kamath M,Subhradeep Pal,Subhradeep Pal",0
1655,"CS F266","STUDY PROJECT","BARSHA MITRA",0
1320,"CS F303","COMPUTER NETWORKS","SUVADIP BATABYAL,Suvadip Batabyal,Mandan Naresh,DipanJan Chakraborty,Chavali Lalitha,Paresh Saxena,Mandan Naresh,Nikumani Choudhury,Pattiwar Shravan Kumar,Rajib Ranjan Maiti,Pattiwar Shravan Kumar,Suvadip Batabyal,Paresh Saxena,Nikumani Choudhury,Rajib Ranjan Maiti,DipanJan Chakraborty",0
1317,"CS F342","COMPUTER ARCHITECTURE","CHETAN KUMAR V,Chetan Kumar V,Sharvani Gadgil,Chetan Kumar V,Vikash Singh,Sharvani Gadgil,Vikash Singh",0
1318,"CS F363","COMPILER CONSTRUCTION","ARUNA MALAPATI,Raghunath Reddy M,S Vishwanath Reddy,Raghunath Reddy M,Ramisetty Kavya,Sameer Singh,Chillara Anil Kumar,R Gururaj,S Vishwanath Reddy,Jabez J Christopher,Ramisetty Kavya,Raghunath Reddy M,Raghunath Reddy M,Raghunath Reddy M,Jabez J Christopher,Jabez J Christopher",0
1319,"CS F364","DESIGN & ANAL OF ALGO","TATHAGATA RAY,Manjanna B,Manjanna B,Manjanna B,Raghunath Reddy M,S Vishwanath Reddy",0
1670,"CS F366","LABORATORY PROJECT","BARSHA MITRA",0
1740,"CS F367","LABORATORY PROJECT","BARSHA MITRA",0
1315,"CS F372","OPERATING SYSTEMS","DIPANJAN CHAKRABORTY,Mandan Naresh",0
1689,"CS F376","DESIGN PROJECT","BARSHA MITRA",0
1756,"CS F377","DESIGN PROJECT","BARSHA MITRA",0
1333,"CS F407","ARTIFICIAL INTELLIGENCE","CHITTARANJAN HOTA,K Sai Anirudh,Prerna Saurabh",0
1322,"CS F415","DATA MINING","APURBA DAS,Deepa Kumari",0
1325,"CS F441","SEL TOPICS FROM COMP SC","RAMASWAMY VENKATAKR",0
1857,"CS F469","INFORMATION RETRIEVAL","NL BHANUMURTHY,Deepa Kumari",0
507,"CS G513","NETWORK SECURITY","RAJIB RANJAN MAITI,Rajib Ranjan Maiti,Anand Agrawal",0
2449,"CS G516","ADVANCED DATABASE SYSTEMS","SUBHRAKANTA PANDA,Subhrakanta Panda",0
2106,"CS G520","ADVANCED DATA MINING","JABEZ J CHRISTOPHER,Ramisetty Kavya",0
2052,"CS G523","SOFTWARE FOR EMBEDDED SYS","SOUMYA J,Soumya J,Aparna Nair M K",0
2006,"CS G524","ADV COMPUTER ARCHITECTURE","G GEETHAKUMARI,G Geethakumari,Chillara Anil Kumar",0
2116,"DE G513","TRIBOLOGY","PRABAKARAN SARAVANA,Prabakaran Saravanan",0
436,"DE G514","FRACTURE MECHANICS","AMOL VUPPULURI,Amol Vuppuluri,Brajesh Kumar Panigrahi",0
2516,"ECE F216","ELECTRONIC DEVICES SIMULATION LABORATORY","SAYAN KANUNGO,Aditya Tiwari,Parikshit Parshuram Sahatiy",0
1384,"ECE F241","MICROPROC & INTERFACING","PRASHANT WALI,Gopal Krishna Kamath M,Prashant Wali,Swapna Challagundla,Anil Kumar U,Gowtham Polumati,Harish Vijay Dixit,Swapna Challagundla,S K Sahoo,Mrunali Dnyaneshwar Wagh,Soumya J,TO BE ANNOUNCED,Soumya J,TO BE ANNOUNCED,Naveen Bokka,TO BE ANNOUNCED,Sourav Nandi,Battina Sindhu,Sourav Nandi,Battina Sindhu,Karumbaiah Chappanda Nan,Sarda Sharma,Karumbaiah Chappanda Nan,Sarda Sharma,Ramakant,Mrunali Dnyaneshwar Wagh,Ramakant,Gowtham Polumati,Anil Kumar U,Jayapiriya U S,TO BE ANNOUNCED,Kurakula Anudeep,Naveen Bokka,Kurakula Anudeep,Prashant Wali,Prashant Wali,Gopal Krishna Kamath M,Gopal Krishna Kamath M,Runa Kumari,Chetan Kumar V,Chetan Kumar V,Prashant Wali,Gopal Krishna Kamath M,Subhradeep Pal,Subhradeep Pal",0
1385,"ECE F242","CONTROL SYSTEMS","PRATYUSH CHAKRABORT,Ankur Bhattacharjee,Alivelu Manga Parimi,Joyjit Mukherjee,Ankur Bhattacharjee,Ankur Bhattacharjee,Alivelu Manga Parimi,Manish Laxminarayan Bhaiy,Pratyush Chakraborty,Pratyush Chakraborty,Joyjit Mukherjee",0
1386,"ECE F243","SIGNALS & SYSTEMS","RAMAKANT,BVVSN Prabhakar Rao,Ramakant,BVVSN Prabhakar Rao,BVVSN Prabhakar Rao,Venkateswaran R,Venkateswaran R,Amit Ranjan Azad,Amit Ranjan Azad",0
1387,"ECE F244","MICROELECTRONIC CIRCUITS","SYED ERSHAD AHMED,Karumbaiah Chappanda Nan,Syed Ershad Ahmed,Syed Ershad Ahmed,Syed Ershad Ahmed,Karumbaiah Chappanda Nan,Karumbaiah Chappanda Nan,Surya Shankar Dan,Surya Shankar Dan",0
1701,"ECE F266","STUDY PROJECT","STP SRINIVAS",0
1894,"ECE F312","EM FIELDS LAB MICRO ENGG LAB","HARISH VIJAY DIXIT,G Jayeshkumar Pintubhai",0
1391,"ECE F341","ANALOG ELECTRONICS","PRASANT KUMAR P,Amit Kumar Panda,Prasant Kumar P,TO BE ANNOUNCED,Prasant Kumar P,TO BE ANNOUNCED,Rajesh Kumar Tripathy,TO BE ANNOUNCED,Chaluvadi V Naga Bhaskar,Renuka.H,Joyjit Mukherjee,Chaluvadi V Naga Bhaskar,Joyjit Mukherjee,Prasant Kumar P,Prasant Kumar P,Amit Kumar Panda,Amit Kumar Panda,Rajesh Kumar Tripathy,Rajesh Kumar Tripathy,Rajesh Kumar Tripathy",0
1595,"ECE F343","COMMUNICATION NETWORKS","S K SAHOO,S K Sahoo,S K Sahoo,S K Sahoo",0
1390,"ECE F344","INFO THEORY & CODING","RUNA KUMARI,Runa Kumari,Runa Kumari,Runa Kumari",0
1702,"ECE F366","LABORATORY PROJECT","SUBHRADEEP PAL",0
1705,"ECE F367","LABORATORY PROJECT","SUBHRADEEP PAL",0
1703,"ECE F376","DESIGN PROJECT","KARUMBAIAH CHAPPANDA",0
1706,"ECE F377","DESIGN PROJECT","KARUMBAIAH CHAPPANDA",0
1396,"ECE F416","DIGITAL COMMUNICATION","BALASUBRAMANIAN M",0
1023,"ECON F211","PRINCIPLES OF ECONOMICS","ARCHANA SRIVASTAVA,Bheemeshwar Reddy A,Mini Thomas,Rishi Kumar,Sudatta Banerjee,Archana Srivastava,Keerti Mallela,Bheemeshwar Reddy A,Mini Thomas,Rishi Kumar,Sudatta Banerjee,Bincy George",0
1120,"ECON F212","FUNDA OF FIN AND ACCOUNT","NIRANJAN SWAIN,Aaishwarya Narayanan,T Nagaraju",0
1442,"ECON F241","ECONOMETRIC METHODS","BHEEMESHWAR REDDY A,Bheemeshwar Reddy A,Athary Janiso",0
1443,"ECON F242","MICROECONOMICS","DUSHYANT KUMAR,Dushyant Kumar,Prakash Kumar Shukla",0
1444,"ECON F243","MACROECONOMICS","SUNNY KUMAR SINGH,Sunny Kumar Singh,Salva.K",0
1445,"ECON F244","ECONOMIC OF GROWTH & DEV","SUDATTA BANERJEE,Sudatta Banerjee,Soumya Sucharita Panda",0
1656,"ECON F266","STUDY PROJECT","MINI THOMAS",0
1923,"ECON F315","FINANCIAL MANAGEMENT","NIVEDITA SINHA,Tanaji Pavani Prabha",0
1449,"ECON F341","PUBLIC FIN THEO & POLICY","MINI THOMAS,Mini Thomas,Ummuhabeeba Chaliyan",0
1450,"ECON F342","APPLIED ECONOMETRICS","RISHI KUMAR,Rishi Kumar,Amrita Pani",0
